999|NO PROMOTION #|NO RPOMOTION|11|NO PROMOTION|2|0|9999-01-01-00-00-00|9999-01-01-00-00-00|Promotion total|1
58|internet promotion #25-58|loyal customer discount|25|internet|6|86400|2000-02-22-00-00-00|2000-03-22-00-00-00|Promotion total|1
71|internet promotion #29-71|online discount|29|internet|6|86700|1999-01-30-00-00-00|1999-04-30-00-00-00|Promotion total|1
487|magazine promotion #26-487|manufacture rebate magazine|26|magazine|7|87000|1999-10-29-00-00-00|2000-01-29-00-00-00|Promotion total|1
330|newspaper promotion #16-330|ad news|16|newspaper|8|87100|1999-03-15-00-00-00|1999-06-15-00-00-00|Promotion total|1
202|internet promotion #29-202|online discount|29|internet|6|87300|1998-09-29-00-00-00|1998-11-29-00-00-00|Promotion total|1
221|TV promotion #30-221|promotion movie|30|TV|3|87400|2000-08-07-00-00-00|2000-09-07-00-00-00|Promotion total|1
408|post promotion #21-408|freeway billboard|21|post|9|87500|2000-08-23-00-00-00|2000-09-23-00-00-00|Promotion total|1
100|internet promotion #14-100|ad|14|internet|6|87600|1999-04-18-00-00-00|1999-07-18-00-00-00|Promotion total|1
87|internet promotion #14-87|ad|14|internet|6|87900|1999-04-24-00-00-00|1999-07-24-00-00-00|Promotion total|1
116|post promotion #20-116|downtown billboard|20|post|9|88000|1998-11-10-00-00-00|1999-01-10-00-00-00|Promotion total|1
259|TV promotion #12-259|TV commercial|12|TV|3|88300|2000-02-14-00-00-00|2000-03-14-00-00-00|Promotion total|1
178|internet promotion #29-178|online discount|29|internet|6|88500|2000-02-21-00-00-00|2000-03-21-00-00-00|Promotion total|1
92|flyer promotion #22-92|general flyer|22|flyer|5|88700|2000-05-14-00-00-00|2000-06-14-00-00-00|Promotion total|1
473|magazine promotion #15-473|ad magazine|15|magazine|7|88800|1999-04-16-00-00-00|1999-07-16-00-00-00|Promotion total|1
215|flyer promotion #22-215|general flyer|22|flyer|5|88900|2000-12-06-00-00-00|2001-01-06-00-00-00|Promotion total|1
321|newspaper promotion #19-321|coupon news|19|newspaper|8|89000|2000-12-07-00-00-00|2001-01-07-00-00-00|Promotion total|1
417|newspaper promotion #19-417|coupon news|19|newspaper|8|89600|1999-01-27-00-00-00|1999-04-27-00-00-00|Promotion total|1
251|magazine promotion #15-251|ad magazine|15|magazine|7|89700|2000-05-12-00-00-00|2000-06-12-00-00-00|Promotion total|1
309|internet promotion #14-309|ad|14|internet|6|89800|1998-07-22-00-00-00|1998-09-22-00-00-00|Promotion total|1
180|newspaper promotion #19-180|coupon news|19|newspaper|8|89900|1999-01-07-00-00-00|1999-04-07-00-00-00|Promotion total|1
366|newspaper promotion #19-366|coupon news|19|newspaper|8|90800|1999-04-18-00-00-00|1999-07-18-00-00-00|Promotion total|1
69|flyer promotion #23-69|hospital flyer|23|flyer|5|91400|1998-09-19-00-00-00|1998-11-19-00-00-00|Promotion total|1
61|TV promotion #12-61|TV commercial|12|TV|3|91600|1999-04-28-00-00-00|1999-07-28-00-00-00|Promotion total|1
207|internet promotion #14-207|ad|14|internet|6|91700|1999-04-16-00-00-00|1999-07-16-00-00-00|Promotion total|1
508|newspaper promotion #19-508|coupon news|19|newspaper|8|91800|2000-08-19-00-00-00|2000-09-19-00-00-00|Promotion total|1
97|flyer promotion #23-97|hospital flyer|23|flyer|5|91900|1999-01-15-00-00-00|1999-04-15-00-00-00|Promotion total|1
493|flyer promotion #22-493|general flyer|22|flyer|5|92300|1998-09-04-00-00-00|1998-11-04-00-00-00|Promotion total|1
161|internet promotion #25-161|loyal customer discount|25|internet|6|92400|1999-10-09-00-00-00|2000-01-09-00-00-00|Promotion total|1
134|magazine promotion #18-134|coupon magazine|18|magazine|7|92500|2000-12-18-00-00-00|2001-01-18-00-00-00|Promotion total|1
90|post promotion #20-90|downtown billboard|20|post|9|92900|1999-03-29-00-00-00|1999-06-29-00-00-00|Promotion total|1
421|post promotion #21-421|freeway billboard|21|post|9|93400|2000-08-07-00-00-00|2000-09-07-00-00-00|Promotion total|1
186|post promotion #21-186|freeway billboard|21|post|9|93500|1998-06-20-00-00-00|1998-08-20-00-00-00|Promotion total|1
458|magazine promotion #15-458|ad magazine|15|magazine|7|93900|2000-02-14-00-00-00|2000-03-14-00-00-00|Promotion total|1
89|magazine promotion #18-89|coupon magazine|18|magazine|7|94000|1998-11-01-00-00-00|1999-01-01-00-00-00|Promotion total|1
168|internet promotion #25-168|loyal customer discount|25|internet|6|94200|2000-08-17-00-00-00|2000-09-17-00-00-00|Promotion total|1
518|TV promotion #13-518|TV program sponsorship|13|TV|3|94600|2000-02-24-00-00-00|2000-03-24-00-00-00|Promotion total|1
47|TV promotion #12-47|TV commercial|12|TV|3|94700|1999-01-23-00-00-00|1999-04-23-00-00-00|Promotion total|1
413|newspaper promotion #19-413|coupon news|19|newspaper|8|94900|1999-10-19-00-00-00|2000-01-19-00-00-00|Promotion total|1
362|magazine promotion #15-362|ad magazine|15|magazine|7|95100|1998-07-04-00-00-00|1998-09-04-00-00-00|Promotion total|1
511|radio promotion #32-511|radio program sponsorship|32|radio|10|95300|2000-05-05-00-00-00|2000-06-05-00-00-00|Promotion total|1
409|newspaper promotion #16-409|ad news|16|newspaper|8|95600|1998-11-22-00-00-00|1999-01-22-00-00-00|Promotion total|1
298|newspaper promotion #16-298|ad news|16|newspaper|8|95900|2000-02-13-00-00-00|2000-03-13-00-00-00|Promotion total|1
381|newspaper promotion #19-381|coupon news|19|newspaper|8|96000|1999-04-05-00-00-00|1999-07-05-00-00-00|Promotion total|1
348|newspaper promotion #19-348|coupon news|19|newspaper|8|96200|2000-12-06-00-00-00|2001-01-06-00-00-00|Promotion total|1
335|internet promotion #29-335|online discount|29|internet|6|96300|1998-09-08-00-00-00|1998-11-08-00-00-00|Promotion total|1
375|TV promotion #13-375|TV program sponsorship|13|TV|3|96500|2000-12-23-00-00-00|2001-01-23-00-00-00|Promotion total|1
395|newspaper promotion #19-395|coupon news|19|newspaper|8|97000|2000-08-28-00-00-00|2000-09-28-00-00-00|Promotion total|1
363|TV promotion #12-363|TV commercial|12|TV|3|97100|1999-01-15-00-00-00|1999-04-15-00-00-00|Promotion total|1
124|radio promotion #32-124|radio program sponsorship|32|radio|10|97200|2000-05-10-00-00-00|2000-06-10-00-00-00|Promotion total|1
219|newspaper promotion #16-219|ad news|16|newspaper|8|97400|1998-09-20-00-00-00|1998-11-20-00-00-00|Promotion total|1
256|TV promotion #13-256|TV program sponsorship|13|TV|3|97600|1999-01-29-00-00-00|1999-04-29-00-00-00|Promotion total|1
121|post promotion #20-121|downtown billboard|20|post|9|98000|2000-12-07-00-00-00|2001-01-07-00-00-00|Promotion total|1
404|internet promotion #29-404|online discount|29|internet|6|98200|1999-01-08-00-00-00|1999-04-08-00-00-00|Promotion total|1
271|TV promotion #12-271|TV commercial|12|TV|3|98300|1999-01-08-00-00-00|1999-04-08-00-00-00|Promotion total|1
57|internet promotion #25-57|loyal customer discount|25|internet|6|98400|1999-01-14-00-00-00|1999-04-14-00-00-00|Promotion total|1
398|newspaper promotion #19-398|coupon news|19|newspaper|8|98500|2000-05-31-00-00-00|2000-06-30-00-00-00|Promotion total|1
133|magazine promotion #18-133|coupon magazine|18|magazine|7|98700|1999-10-25-00-00-00|2000-01-25-00-00-00|Promotion total|1
122|radio promotion #32-122|radio program sponsorship|32|radio|10|99000|1998-07-01-00-00-00|1998-09-01-00-00-00|Promotion total|1
281|post promotion #20-281|downtown billboard|20|post|9|99100|1999-10-05-00-00-00|2000-01-05-00-00-00|Promotion total|1
343|post promotion #20-343|downtown billboard|20|post|9|99200|1999-03-19-00-00-00|1999-06-19-00-00-00|Promotion total|1
274|post promotion #20-274|downtown billboard|20|post|9|99300|1999-04-16-00-00-00|1999-07-16-00-00-00|Promotion total|1
530|TV promotion #12-530|TV commercial|12|TV|3|99600|1999-01-13-00-00-00|1999-04-13-00-00-00|Promotion total|1
157|post promotion #17-157|billboard|17|post|9|99700|1999-03-29-00-00-00|1999-06-29-00-00-00|Promotion total|1
481|TV promotion #12-481|TV commercial|12|TV|3|99900|1999-10-05-00-00-00|2000-01-05-00-00-00|Promotion total|1
40|newspaper promotion #19-40|coupon news|19|newspaper|8|100000|1998-06-16-00-00-00|1998-08-16-00-00-00|Promotion total|1
36|everyday low price|newspaper|28|ad news|4|0|1998-06-01-00-00-00|1999-01-01-00-00-00|Promotion total|1
37|blowout sale|newspaper|28|ad news|4|0|1998-06-01-00-00-00|1999-01-01-00-00-00|Promotion total|1
